out,row_names
17,GBAA1493
17,GBAA1566
17,GBAA1567
17,GBAA1572
17,GBAA1584
17,GBAA1586
17,GBAA1810
17,GBAA2251
17,GBAA2323_S
17,GBAA2842
17,GBAA3665
17,GBAA3847
17,GBAA3850
17,GBAA3944
17,GBAA3957
17,GBAA3961
17,GBAA3962
17,GBAA3963
17,GBAA3964
17,GBAA3970
17,GBAA3971
17,GBAA4002
17,GBAA4006
17,GBAA4008
17,GBAA4039
17,GBAA4191
17,GBAA4217
17,GBAA4219
17,GBAA4236
17,GBAA4389
17,GBAA4399
17,GBAA4400
17,GBAA4405
17,GBAA4406
17,GBAA4497
17,GBAA4512
17,GBAA4513
17,GBAA4525
17,GBAA4539
17,GBAA4540
17,GBAA4558
17,GBAA4559
17,GBAA4560
17,GBAA4604
17,GBAA4605
17,GBAA4673
17,GBAA4682
17,GBAA4705
17,GBAA4816
17,GBAA5074
17,GBAA5084
17,GBAA5085
17,GBAA5163
17,GBAA5216
17,GBAA5217
17,GBAA5332
17,GBAA5577
17,GBAA5578
17,GBAA5582
17,GBAA5611
17,GBAA5683
17,GBAA5684
17,GBAA5715
17,GBAA5732
17,GBAA5733
17,GBAA5734
17,GBAA5735
17,GBAA5736
17,GBAA5737
18,GBAA0034
18,GBAA0194
18,GBAA0312
18,GBAA0313
18,GBAA0336
18,GBAA0616
18,GBAA0617
18,GBAA0623
18,GBAA0631
18,GBAA0632
18,GBAA0661
18,GBAA0681
18,GBAA0683
18,GBAA0802
18,GBAA0954
18,GBAA0958
18,GBAA0959
18,GBAA1136
18,GBAA1469
18,GBAA1786
18,GBAA1787
18,GBAA1890
18,GBAA1905
18,GBAA1950
18,GBAA1994
18,GBAA2050
18,GBAA2051
18,GBAA2052
18,GBAA2174
18,GBAA2336
18,GBAA2730
18,GBAA2995
18,GBAA3157
18,GBAA3183
18,GBAA3184
18,GBAA3266
18,GBAA3700
18,GBAA3975
18,GBAA4049
18,GBAA4220
18,GBAA4235
18,GBAA4459
18,GBAA4544
18,GBAA4588
18,GBAA4652
